start	end	text	parse_string	label
507.5838279296875	510.7938279296875	If you type Jimmy Wales monkey selfie into the Google	(SBAR (IN If) (S (NP (PRP you)) (VP (VBP type) (NP (NML (NNP Jimmy) (NNP Wales)) (NN monkey) (NN selfie)) (PP (IN into) (NP (DT the) (NNP Google))))))	('SBAR',)
507.7138279296875	510.7938279296875	you type Jimmy Wales monkey selfie into the Google	(S (NP (PRP you)) (VP (VBP type) (NP (NML (NNP Jimmy) (NNP Wales)) (NN monkey) (NN selfie)) (PP (IN into) (NP (DT the) (NNP Google)))))	('S',)
507.8438279296875	510.7938279296875	type Jimmy Wales monkey selfie into the Google	(VP (VBP type) (NP (NML (NNP Jimmy) (NNP Wales)) (NN monkey) (NN selfie)) (PP (IN into) (NP (DT the) (NNP Google))))	('VP',)
508.3738279296875	509.9638279296875	Jimmy Wales monkey selfie	(NP (NML (NNP Jimmy) (NNP Wales)) (NN monkey) (NN selfie))	('NP',)
508.3738279296875	509.0238279296875	Jimmy Wales	(NML (NNP Jimmy) (NNP Wales))	('NML',)
510.0238279296875	510.7938279296875	into the Google	(PP (IN into) (NP (DT the) (NNP Google)))	('PP',)
510.2638279296875	510.7938279296875	the Google	(NP (DT the) (NNP Google))	('NP',)
511.2638279296875	518.2438279296875	'll find a photo of an adult male human holding his phone up in one hand and the monkey selfie in the other right next to his face	(VP (MD 'll) (VP (VB find) (NP (NP (DT a) (NN photo)) (PP (IN of) (S (NP (DT an) (JJ adult) (JJ male) (NN human)) (VP (VP (VBG holding) (NP (PRP$ his) (NN phone)) (PRT (RP up)) (PP (IN in) (NP (CD one) (NN hand)))) (CC and) (VP (NP (DT the) (NN monkey) (NN selfie)) (PP (IN in) (NP (DT the) (JJ other))) (PP (RB right) (JJ next) (PP (IN to) (NP (PRP$ his) (NN face)))))))))))	('VP',)
511.4138279296875	518.2438279296875	find a photo of an adult male human holding his phone up in one hand and the monkey selfie in the other right next to his face	(VP (VB find) (NP (NP (DT a) (NN photo)) (PP (IN of) (S (NP (DT an) (JJ adult) (JJ male) (NN human)) (VP (VP (VBG holding) (NP (PRP$ his) (NN phone)) (PRT (RP up)) (PP (IN in) (NP (CD one) (NN hand)))) (CC and) (VP (NP (DT the) (NN monkey) (NN selfie)) (PP (IN in) (NP (DT the) (JJ other))) (PP (RB right) (JJ next) (PP (IN to) (NP (PRP$ his) (NN face))))))))))	('VP',)
511.6038279296875	518.2438279296875	a photo of an adult male human holding his phone up in one hand and the monkey selfie in the other right next to his face	(NP (NP (DT a) (NN photo)) (PP (IN of) (S (NP (DT an) (JJ adult) (JJ male) (NN human)) (VP (VP (VBG holding) (NP (PRP$ his) (NN phone)) (PRT (RP up)) (PP (IN in) (NP (CD one) (NN hand)))) (CC and) (VP (NP (DT the) (NN monkey) (NN selfie)) (PP (IN in) (NP (DT the) (JJ other))) (PP (RB right) (JJ next) (PP (IN to) (NP (PRP$ his) (NN face)))))))))	('NP',)
511.6038279296875	511.9538279296875	a photo	(NP (DT a) (NN photo))	('NP',)
512.0338279296875	518.2438279296875	of an adult male human holding his phone up in one hand and the monkey selfie in the other right next to his face	(PP (IN of) (S (NP (DT an) (JJ adult) (JJ male) (NN human)) (VP (VP (VBG holding) (NP (PRP$ his) (NN phone)) (PRT (RP up)) (PP (IN in) (NP (CD one) (NN hand)))) (CC and) (VP (NP (DT the) (NN monkey) (NN selfie)) (PP (IN in) (NP (DT the) (JJ other))) (PP (RB right) (JJ next) (PP (IN to) (NP (PRP$ his) (NN face))))))))	('PP',)
512.1338279296875	518.2438279296875	an adult male human holding his phone up in one hand and the monkey selfie in the other right next to his face	(S (NP (DT an) (JJ adult) (JJ male) (NN human)) (VP (VP (VBG holding) (NP (PRP$ his) (NN phone)) (PRT (RP up)) (PP (IN in) (NP (CD one) (NN hand)))) (CC and) (VP (NP (DT the) (NN monkey) (NN selfie)) (PP (IN in) (NP (DT the) (JJ other))) (PP (RB right) (JJ next) (PP (IN to) (NP (PRP$ his) (NN face)))))))	('S',)
512.1338279296875	513.2838279296875	an adult male human	(NP (DT an) (JJ adult) (JJ male) (NN human))	('NP',)
513.8138279296875	518.2438279296875	holding his phone up in one hand and the monkey selfie in the other right next to his face	(VP (VP (VBG holding) (NP (PRP$ his) (NN phone)) (PRT (RP up)) (PP (IN in) (NP (CD one) (NN hand)))) (CC and) (VP (NP (DT the) (NN monkey) (NN selfie)) (PP (IN in) (NP (DT the) (JJ other))) (PP (RB right) (JJ next) (PP (IN to) (NP (PRP$ his) (NN face))))))	('VP',)
513.8138279296875	515.2138279296876	holding his phone up in one hand	(VP (VBG holding) (NP (PRP$ his) (NN phone)) (PRT (RP up)) (PP (IN in) (NP (CD one) (NN hand))))	('VP',)
514.0538279296875	514.4038279296875	his phone	(NP (PRP$ his) (NN phone))	('NP',)
514.5438279296875	515.2138279296876	in one hand	(PP (IN in) (NP (CD one) (NN hand)))	('PP',)
514.6738279296875	515.2138279296876	one hand	(NP (CD one) (NN hand))	('NP',)
515.7138279296876	518.2438279296875	the monkey selfie in the other right next to his face	(VP (NP (DT the) (NN monkey) (NN selfie)) (PP (IN in) (NP (DT the) (JJ other))) (PP (RB right) (JJ next) (PP (IN to) (NP (PRP$ his) (NN face)))))	('VP',)
515.7138279296876	516.3238279296876	the monkey selfie	(NP (DT the) (NN monkey) (NN selfie))	('NP',)
516.3438279296876	516.9138279296875	in the other	(PP (IN in) (NP (DT the) (JJ other)))	('PP',)
516.4438279296875	516.9138279296875	the other	(NP (DT the) (JJ other))	('NP',)
517.1738279296875	518.2438279296875	right next to his face	(PP (RB right) (JJ next) (PP (IN to) (NP (PRP$ his) (NN face))))	('PP',)
517.5138279296875	518.2438279296875	to his face	(PP (IN to) (NP (PRP$ his) (NN face)))	('PP',)
517.6138279296875	518.2438279296875	his face	(NP (PRP$ his) (NN face))	('NP',)
519.0338279296875	521.5238279296875	And he's got his lips puckered up like a duck	(S (CC And) (NP (PRP he)) (VP (VBZ 's) (VP (VBD got) (S (NP (PRP$ his) (NNS lips)) (VP (VBN puckered) (PRT (RP up)) (PP (IN like) (NP (DT a) (NN duck))))))))	('S',)
519.3938279296875	521.5238279296875	's got his lips puckered up like a duck	(VP (VBZ 's) (VP (VBD got) (S (NP (PRP$ his) (NNS lips)) (VP (VBN puckered) (PRT (RP up)) (PP (IN like) (NP (DT a) (NN duck)))))))	('VP',)
519.5538279296875	521.5238279296875	got his lips puckered up like a duck	(VP (VBD got) (S (NP (PRP$ his) (NNS lips)) (VP (VBN puckered) (PRT (RP up)) (PP (IN like) (NP (DT a) (NN duck))))))	('VP',)
519.6738279296875	521.5238279296875	his lips puckered up like a duck	(S (NP (PRP$ his) (NNS lips)) (VP (VBN puckered) (PRT (RP up)) (PP (IN like) (NP (DT a) (NN duck)))))	('S',)
519.6738279296875	520.0638279296875	his lips	(NP (PRP$ his) (NNS lips))	('NP',)
520.0838279296875	521.5238279296875	puckered up like a duck	(VP (VBN puckered) (PRT (RP up)) (PP (IN like) (NP (DT a) (NN duck))))	('VP',)
520.9538279296875	521.5238279296875	like a duck	(PP (IN like) (NP (DT a) (NN duck)))	('PP',)
521.1238279296875	521.5238279296875	a duck	(NP (DT a) (NN duck))	('NP',)
522.5246279296875	523.5246279296875	He looks ridiculous	(S (NP (PRP He)) (VP (VBZ looks) (ADJP (JJ ridiculous))))	('S',)
522.6246279296874	523.5246279296875	looks ridiculous	(VP (VBZ looks) (ADJP (JJ ridiculous)))	('VP',)
524.4165279296875	526.8365279296875	Now is he is that face he's making is that	(SINV (ADVP (RB Now)) (VBZ is) (NP (PRP he)) (VP (VBZ is) (NP (NP (NP (DT that) (NN face)) (SBAR (S (NP (PRP he)) (VP (VBZ 's) (VP (VBG making)))))) (VP (VBZ is) (NP (DT that))))))	('SINV',)
525.0365279296875	526.8365279296875	is that face he's making is that	(VP (VBZ is) (NP (NP (NP (DT that) (NN face)) (SBAR (S (NP (PRP he)) (VP (VBZ 's) (VP (VBG making)))))) (VP (VBZ is) (NP (DT that)))))	('VP',)
525.1465279296875	526.8365279296875	that face he's making is that	(NP (NP (NP (DT that) (NN face)) (SBAR (S (NP (PRP he)) (VP (VBZ 's) (VP (VBG making)))))) (VP (VBZ is) (NP (DT that))))	('NP',)
525.1465279296875	526.2865279296875	that face he's making	(NP (NP (DT that) (NN face)) (SBAR (S (NP (PRP he)) (VP (VBZ 's) (VP (VBG making))))))	('NP',)
525.1465279296875	525.6665279296875	that face	(NP (DT that) (NN face))	('NP',)
525.7065279296875	526.2865279296875	he's making	(SBAR (S (NP (PRP he)) (VP (VBZ 's) (VP (VBG making)))))	('SBAR', 'S')
525.7065279296875	526.2865279296875	's making	(VP (VBZ 's) (VP (VBG making)))	('VP',)
526.3265279296875	526.8365279296875	is that	(VP (VBZ is) (NP (DT that)))	('VP',)
528.3147279296875	529.4547279296875	Well it's like a duck face	(S (ADVP (RB Well)) (NP (PRP it)) (VP (VBZ 's) (PP (IN like) (NP (DT a) (NN duck) (NN face)))))	('S',)
528.4547279296875	529.4547279296875	's like a duck face	(VP (VBZ 's) (PP (IN like) (NP (DT a) (NN duck) (NN face))))	('VP',)
528.6047279296874	529.4547279296875	like a duck face	(PP (IN like) (NP (DT a) (NN duck) (NN face)))	('PP',)
528.8247279296875	529.4547279296875	a duck face	(NP (DT a) (NN duck) (NN face))	('NP',)
528.9406279296875	530.2106279296875	he's Why why is	(S (NP (PRP he)) (VP (VBZ 's) (SBAR (WHADVP (WRB Why) (SBAR (WRB why))) (SQ (VBZ is)))))	('S',)
528.9406279296875	530.2106279296875	's Why why is	(VP (VBZ 's) (SBAR (WHADVP (WRB Why) (SBAR (WRB why))) (SQ (VBZ is))))	('VP',)
529.5506279296875	530.2106279296875	Why why is	(SBAR (WHADVP (WRB Why) (SBAR (WRB why))) (SQ (VBZ is)))	('SBAR',)
529.5506279296875	530.0506279296875	Why why	(WHADVP (WRB Why) (SBAR (WRB why)))	('WHADVP',)
529.5187279296875	530.7187279296875	I don't know where that comes from	(S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHADVP (WRB where)) (S (NP (DT that)) (VP (VBZ comes) (PP (IN from))))))))	('S',)
529.5687279296875	530.7187279296875	don't know where that comes from	(VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHADVP (WRB where)) (S (NP (DT that)) (VP (VBZ comes) (PP (IN from)))))))	('VP',)
529.7487279296874	530.7187279296875	know where that comes from	(VP (VB know) (SBAR (WHADVP (WRB where)) (S (NP (DT that)) (VP (VBZ comes) (PP (IN from))))))	('VP',)
529.8887279296875	530.7187279296875	where that comes from	(SBAR (WHADVP (WRB where)) (S (NP (DT that)) (VP (VBZ comes) (PP (IN from)))))	('SBAR',)
530.0787279296875	530.7187279296875	that comes from	(S (NP (DT that)) (VP (VBZ comes) (PP (IN from))))	('S',)
530.2387279296875	530.7187279296875	comes from	(VP (VBZ comes) (PP (IN from)))	('VP',)
531.0568279296875	531.7368279296875	I don't either	(S (NP (PRP I)) (VP (VBP do) (RB n't) (ADVP (RB either))))	('S',)
531.2268279296875	531.7368279296875	don't either	(VP (VBP do) (RB n't) (ADVP (RB either)))	('VP',)
530.7160279296875	532.8760279296876	But a lot of people seem to do this duck lips	(S (CC But) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS people)))) (VP (VBP seem) (S (VP (TO to) (VP (VB do) (NP (DT this) (NN duck) (NNS lips)))))))	('S',)
530.8160279296875	531.3560279296875	a lot of people	(NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS people))))	('NP',)
530.8160279296875	530.891	a lot	(NP (DT a) (NN lot))	('NP',)
530.9760279296875	531.3560279296875	of people	(PP (IN of) (NP (NNS people)))	('PP',)
531.4160279296875	532.8760279296876	seem to do this duck lips	(VP (VBP seem) (S (VP (TO to) (VP (VB do) (NP (DT this) (NN duck) (NNS lips))))))	('VP',)
531.6560279296875	532.8760279296876	to do this duck lips	(S (VP (TO to) (VP (VB do) (NP (DT this) (NN duck) (NNS lips)))))	('S', 'VP')
531.7560279296875	532.8760279296876	do this duck lips	(VP (VB do) (NP (DT this) (NN duck) (NNS lips)))	('VP',)
531.9160279296875	532.8760279296876	this duck lips	(NP (DT this) (NN duck) (NNS lips))	('NP',)
533.6195279296875	537.2295279296875	How did you feel when you saw that Jimmy Wales selfie with your monkey selfie	(SBARQ (WHADVP (WRB How)) (SQ (VBD did) (NP (PRP you)) (VP (VB feel) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VBD saw) (NP (NP (DT that) (NML (NNP Jimmy) (NNP Wales)) (NN selfie)) (PP (IN with) (NP (PRP$ your) (NN monkey) (NN selfie))))))))))	('SBARQ',)
533.7295279296875	537.2295279296875	did you feel when you saw that Jimmy Wales selfie with your monkey selfie	(SQ (VBD did) (NP (PRP you)) (VP (VB feel) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VBD saw) (NP (NP (DT that) (NML (NNP Jimmy) (NNP Wales)) (NN selfie)) (PP (IN with) (NP (PRP$ your) (NN monkey) (NN selfie)))))))))	('SQ',)
533.9895279296875	537.2295279296875	feel when you saw that Jimmy Wales selfie with your monkey selfie	(VP (VB feel) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VBD saw) (NP (NP (DT that) (NML (NNP Jimmy) (NNP Wales)) (NN selfie)) (PP (IN with) (NP (PRP$ your) (NN monkey) (NN selfie))))))))	('VP',)
534.2195279296875	537.2295279296875	when you saw that Jimmy Wales selfie with your monkey selfie	(SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VBD saw) (NP (NP (DT that) (NML (NNP Jimmy) (NNP Wales)) (NN selfie)) (PP (IN with) (NP (PRP$ your) (NN monkey) (NN selfie)))))))	('SBAR',)
534.3595279296875	537.2295279296875	you saw that Jimmy Wales selfie with your monkey selfie	(S (NP (PRP you)) (VP (VBD saw) (NP (NP (DT that) (NML (NNP Jimmy) (NNP Wales)) (NN selfie)) (PP (IN with) (NP (PRP$ your) (NN monkey) (NN selfie))))))	('S',)
534.7795279296874	537.2295279296875	saw that Jimmy Wales selfie with your monkey selfie	(VP (VBD saw) (NP (NP (DT that) (NML (NNP Jimmy) (NNP Wales)) (NN selfie)) (PP (IN with) (NP (PRP$ your) (NN monkey) (NN selfie)))))	('VP',)
534.9595279296875	537.2295279296875	that Jimmy Wales selfie with your monkey selfie	(NP (NP (DT that) (NML (NNP Jimmy) (NNP Wales)) (NN selfie)) (PP (IN with) (NP (PRP$ your) (NN monkey) (NN selfie))))	('NP',)
534.9595279296875	536.0495279296875	that Jimmy Wales selfie	(NP (DT that) (NML (NNP Jimmy) (NNP Wales)) (NN selfie))	('NP',)
535.1495279296875	535.6695279296875	Jimmy Wales	(NML (NNP Jimmy) (NNP Wales))	('NML',)
536.1095279296875	537.2295279296875	with your monkey selfie	(PP (IN with) (NP (PRP$ your) (NN monkey) (NN selfie)))	('PP',)
536.3795279296875	537.2295279296875	your monkey selfie	(NP (PRP$ your) (NN monkey) (NN selfie))	('NP',)
538.6080279296875	539.2780279296875	So angry	(ADJP (RB So) (JJ angry))	('ADJP',)
546.7894279296875	548.3494279296875	David was fighting Goliath	(S (NP (NNP David)) (VP (VBD was) (VP (VBG fighting) (NP (NNP Goliath)))))	('S',)
547.1294279296875	548.3494279296875	was fighting Goliath	(VP (VBD was) (VP (VBG fighting) (NP (NNP Goliath))))	('VP',)
547.2994279296875	548.3494279296875	fighting Goliath	(VP (VBG fighting) (NP (NNP Goliath)))	('VP',)
549.0394279296875	552.0594279296874	then one day the battle took on epic new proportions	(S (ADVP (RB then)) (NP (CD one) (NN day)) (NP (DT the) (NN battle)) (VP (VBD took) (PRT (RP on)) (NP (JJ epic) (JJ new) (NNS proportions))))	('S',)
549.1994279296875	549.6994279296875	one day	(NP (CD one) (NN day))	('NP',)
549.8394279296875	550.1794279296874	the battle	(NP (DT the) (NN battle))	('NP',)
550.2194279296875	552.0594279296874	took on epic new proportions	(VP (VBD took) (PRT (RP on)) (NP (JJ epic) (JJ new) (NNS proportions)))	('VP',)
550.6494279296875	552.0594279296874	epic new proportions	(NP (JJ epic) (JJ new) (NNS proportions))	('NP',)
552.7394279296875	556.3694279296875	It was like King Kong walked onto the scene and now David had to battle him too	(S (NP (PRP It)) (VP (VBD was) (SBAR (IN like) (S (S (NP (NNP King) (NNP Kong)) (VP (VBD walked) (PP (IN onto) (NP (DT the) (NN scene))))) (CC and) (S (ADVP (RB now)) (NP (NNP David)) (VP (VBD had) (S (VP (TO to) (VP (VB battle) (NP (PRP him)) (ADVP (RB too)))))))))))	('S',)
552.7794279296875	556.3694279296875	was like King Kong walked onto the scene and now David had to battle him too	(VP (VBD was) (SBAR (IN like) (S (S (NP (NNP King) (NNP Kong)) (VP (VBD walked) (PP (IN onto) (NP (DT the) (NN scene))))) (CC and) (S (ADVP (RB now)) (NP (NNP David)) (VP (VBD had) (S (VP (TO to) (VP (VB battle) (NP (PRP him)) (ADVP (RB too))))))))))	('VP',)
552.8794279296875	556.3694279296875	like King Kong walked onto the scene and now David had to battle him too	(SBAR (IN like) (S (S (NP (NNP King) (NNP Kong)) (VP (VBD walked) (PP (IN onto) (NP (DT the) (NN scene))))) (CC and) (S (ADVP (RB now)) (NP (NNP David)) (VP (VBD had) (S (VP (TO to) (VP (VB battle) (NP (PRP him)) (ADVP (RB too)))))))))	('SBAR',)
553.0794279296875	556.3694279296875	King Kong walked onto the scene and now David had to battle him too	(S (S (NP (NNP King) (NNP Kong)) (VP (VBD walked) (PP (IN onto) (NP (DT the) (NN scene))))) (CC and) (S (ADVP (RB now)) (NP (NNP David)) (VP (VBD had) (S (VP (TO to) (VP (VB battle) (NP (PRP him)) (ADVP (RB too))))))))	('S',)
553.0794279296875	554.5894279296875	King Kong walked onto the scene	(S (NP (NNP King) (NNP Kong)) (VP (VBD walked) (PP (IN onto) (NP (DT the) (NN scene)))))	('S',)
553.0794279296875	553.5394279296875	King Kong	(NP (NNP King) (NNP Kong))	('NP',)
553.5594279296874	554.5894279296875	walked onto the scene	(VP (VBD walked) (PP (IN onto) (NP (DT the) (NN scene))))	('VP',)
553.8394279296875	554.5894279296875	onto the scene	(PP (IN onto) (NP (DT the) (NN scene)))	('PP',)
554.0394279296875	554.5894279296875	the scene	(NP (DT the) (NN scene))	('NP',)
554.7894279296875	556.3694279296875	now David had to battle him too	(S (ADVP (RB now)) (NP (NNP David)) (VP (VBD had) (S (VP (TO to) (VP (VB battle) (NP (PRP him)) (ADVP (RB too)))))))	('S',)
555.2594279296875	556.3694279296875	had to battle him too	(VP (VBD had) (S (VP (TO to) (VP (VB battle) (NP (PRP him)) (ADVP (RB too))))))	('VP',)
555.3894279296875	556.3694279296875	to battle him too	(S (VP (TO to) (VP (VB battle) (NP (PRP him)) (ADVP (RB too)))))	('S', 'VP')
555.4794279296875	556.3694279296875	battle him too	(VP (VB battle) (NP (PRP him)) (ADVP (RB too)))	('VP',)
557.4994279296875	560.8794279296875	The dispute with Wikimedia had generated some press in the UK	(S (NP (NP (DT The) (NN dispute)) (PP (IN with) (NP (NNP Wikimedia)))) (VP (VBD had) (VP (VBN generated) (NP (DT some) (NN press)) (PP (IN in) (NP (DT the) (NNP UK))))))	('S',)
557.4994279296875	558.8794279296875	The dispute with Wikimedia	(NP (NP (DT The) (NN dispute)) (PP (IN with) (NP (NNP Wikimedia))))	('NP',)
557.4994279296875	557.9394279296874	The dispute	(NP (DT The) (NN dispute))	('NP',)
557.9794279296875	558.8794279296875	with Wikimedia	(PP (IN with) (NP (NNP Wikimedia)))	('PP',)
558.8994279296875	560.8794279296875	had generated some press in the UK	(VP (VBD had) (VP (VBN generated) (NP (DT some) (NN press)) (PP (IN in) (NP (DT the) (NNP UK)))))	('VP',)
559.0894279296875	560.8794279296875	generated some press in the UK	(VP (VBN generated) (NP (DT some) (NN press)) (PP (IN in) (NP (DT the) (NNP UK))))	('VP',)
559.5994279296875	560.1094279296875	some press	(NP (DT some) (NN press))	('NP',)
560.1494279296875	560.8794279296875	in the UK	(PP (IN in) (NP (DT the) (NNP UK)))	('PP',)
560.2294279296875	560.8794279296875	the UK	(NP (DT the) (NNP UK))	('NP',)
561.7794279296875	563.8294279296875	And one day David's wife was online	(S (CC And) (NP (CD one) (NN day)) (NP (NP (NNP David) (POS 's)) (NN wife)) (VP (VBD was) (ADJP (RB online))))	('S',)
561.8694279296875	562.3094279296874	one day	(NP (CD one) (NN day))	('NP',)
562.5594279296874	563.0794279296875	David's wife	(NP (NP (NNP David) (POS 's)) (NN wife))	('NP',)
562.5594279296874	562.8094279296874	David's	(NP (NNP David) (POS 's))	('NP',)
563.1194279296875	563.8294279296875	was online	(VP (VBD was) (ADJP (RB online)))	('VP',)
564.2198279296875	565.0898279296875	There it was Um	(S (NP (EX There)) (NP (PRP it)) (VP (VBD was) (NP (FW Um))))	('S',)
564.4798279296875	565.0898279296875	was Um	(VP (VBD was) (NP (FW Um)))	('VP',)
565.7098279296875	567.7398279296875	photographer being sued by a monkey	(S (NP (NN photographer)) (VP (VBG being) (VP (VBN sued) (PP (IN by) (NP (DT a) (NN monkey))))))	('S',)
566.3598279296875	567.7398279296875	being sued by a monkey	(VP (VBG being) (VP (VBN sued) (PP (IN by) (NP (DT a) (NN monkey)))))	('VP',)
566.6598279296875	567.7398279296875	sued by a monkey	(VP (VBN sued) (PP (IN by) (NP (DT a) (NN monkey))))	('VP',)
566.9698279296875	567.7398279296875	by a monkey	(PP (IN by) (NP (DT a) (NN monkey)))	('PP',)
567.1798279296875	567.7398279296875	a monkey	(NP (DT a) (NN monkey))	('NP',)
568.0609279296875	571.6609279296875	You found out the monkey was suing you because your wife found it online	(S (NP (PRP You)) (VP (VBD found) (PRT (RP out)) (SBAR (S (NP (DT the) (NN monkey)) (VP (VBD was) (VP (VBG suing) (NP (PRP you)))))) (SBAR (IN because) (S (NP (PRP$ your) (NN wife)) (VP (VBD found) (NP (PRP it)) (ADVP (RB online)))))))	('S',)
568.1609279296875	571.6609279296875	found out the monkey was suing you because your wife found it online	(VP (VBD found) (PRT (RP out)) (SBAR (S (NP (DT the) (NN monkey)) (VP (VBD was) (VP (VBG suing) (NP (PRP you)))))) (SBAR (IN because) (S (NP (PRP$ your) (NN wife)) (VP (VBD found) (NP (PRP it)) (ADVP (RB online))))))	('VP',)
568.5509279296875	569.7609279296875	the monkey was suing you	(SBAR (S (NP (DT the) (NN monkey)) (VP (VBD was) (VP (VBG suing) (NP (PRP you))))))	('SBAR', 'S')
568.5509279296875	568.9409279296875	the monkey	(NP (DT the) (NN monkey))	('NP',)
568.9609279296875	569.7609279296875	was suing you	(VP (VBD was) (VP (VBG suing) (NP (PRP you))))	('VP',)
569.1909279296875	569.7609279296875	suing you	(VP (VBG suing) (NP (PRP you)))	('VP',)
569.9609279296875	571.6609279296875	because your wife found it online	(SBAR (IN because) (S (NP (PRP$ your) (NN wife)) (VP (VBD found) (NP (PRP it)) (ADVP (RB online)))))	('SBAR',)
570.3009279296875	571.6609279296875	your wife found it online	(S (NP (PRP$ your) (NN wife)) (VP (VBD found) (NP (PRP it)) (ADVP (RB online))))	('S',)
570.3009279296875	570.7709279296874	your wife	(NP (PRP$ your) (NN wife))	('NP',)
570.8709279296875	571.6609279296875	found it online	(VP (VBD found) (NP (PRP it)) (ADVP (RB online)))	('VP',)
572.5210279296875	577.3086279296875	Yeah Hm Just as I found out Wikipedia was stealing it because I stumbled across it	(FRAG (INTJ (INTJ (UH Yeah)) (UH Hm)) (SBAR (ADVP (RB Just)) (IN as) (S (NP (PRP I)) (VP (VBD found) (PRT (RP out)) (SBAR (S (NP (NNP Wikipedia)) (VP (VBD was) (VP (VBG stealing) (NP (PRP it)) (SBAR (IN because) (S (NP (PRP I)) (VP (VBD stumbled) (PP (IN across) (NP (PRP it))))))))))))))	('FRAG',)
572.5210279296875	573.2196279296875	Yeah Hm	(INTJ (INTJ (UH Yeah)) (UH Hm))	('INTJ',)
573.5686279296875	577.3086279296875	Just as I found out Wikipedia was stealing it because I stumbled across it	(SBAR (ADVP (RB Just)) (IN as) (S (NP (PRP I)) (VP (VBD found) (PRT (RP out)) (SBAR (S (NP (NNP Wikipedia)) (VP (VBD was) (VP (VBG stealing) (NP (PRP it)) (SBAR (IN because) (S (NP (PRP I)) (VP (VBD stumbled) (PP (IN across) (NP (PRP it)))))))))))))	('SBAR',)
573.8486279296875	577.3086279296875	I found out Wikipedia was stealing it because I stumbled across it	(S (NP (PRP I)) (VP (VBD found) (PRT (RP out)) (SBAR (S (NP (NNP Wikipedia)) (VP (VBD was) (VP (VBG stealing) (NP (PRP it)) (SBAR (IN because) (S (NP (PRP I)) (VP (VBD stumbled) (PP (IN across) (NP (PRP it))))))))))))	('S',)
573.9486279296875	577.3086279296875	found out Wikipedia was stealing it because I stumbled across it	(VP (VBD found) (PRT (RP out)) (SBAR (S (NP (NNP Wikipedia)) (VP (VBD was) (VP (VBG stealing) (NP (PRP it)) (SBAR (IN because) (S (NP (PRP I)) (VP (VBD stumbled) (PP (IN across) (NP (PRP it)))))))))))	('VP',)
574.3586279296875	577.3086279296875	Wikipedia was stealing it because I stumbled across it	(SBAR (S (NP (NNP Wikipedia)) (VP (VBD was) (VP (VBG stealing) (NP (PRP it)) (SBAR (IN because) (S (NP (PRP I)) (VP (VBD stumbled) (PP (IN across) (NP (PRP it))))))))))	('SBAR', 'S')
575.0186279296875	577.3086279296875	was stealing it because I stumbled across it	(VP (VBD was) (VP (VBG stealing) (NP (PRP it)) (SBAR (IN because) (S (NP (PRP I)) (VP (VBD stumbled) (PP (IN across) (NP (PRP it))))))))	('VP',)
575.1886279296875	577.3086279296875	stealing it because I stumbled across it	(VP (VBG stealing) (NP (PRP it)) (SBAR (IN because) (S (NP (PRP I)) (VP (VBD stumbled) (PP (IN across) (NP (PRP it)))))))	('VP',)
575.9086279296874	577.3086279296875	because I stumbled across it	(SBAR (IN because) (S (NP (PRP I)) (VP (VBD stumbled) (PP (IN across) (NP (PRP it))))))	('SBAR',)
576.2386279296875	577.3086279296875	I stumbled across it	(S (NP (PRP I)) (VP (VBD stumbled) (PP (IN across) (NP (PRP it)))))	('S',)
576.3486279296875	577.3086279296875	stumbled across it	(VP (VBD stumbled) (PP (IN across) (NP (PRP it))))	('VP',)
576.7386279296875	577.3086279296875	across it	(PP (IN across) (NP (PRP it)))	('PP',)
577.3486279296875	580.0486279296875	I also stumbled across the fact that I was being sued by a monkey	(S (NP (PRP I)) (ADVP (RB also)) (VP (VBD stumbled) (PP (IN across) (NP (DT the) (NN fact) (SBAR (IN that) (S (NP (PRP I)) (VP (VBD was) (VP (VBG being) (VP (VBN sued) (PP (IN by) (NP (DT a) (NN monkey))))))))))))	('S',)
577.7486279296875	580.0486279296875	stumbled across the fact that I was being sued by a monkey	(VP (VBD stumbled) (PP (IN across) (NP (DT the) (NN fact) (SBAR (IN that) (S (NP (PRP I)) (VP (VBD was) (VP (VBG being) (VP (VBN sued) (PP (IN by) (NP (DT a) (NN monkey)))))))))))	('VP',)
578.1086279296875	580.0486279296875	across the fact that I was being sued by a monkey	(PP (IN across) (NP (DT the) (NN fact) (SBAR (IN that) (S (NP (PRP I)) (VP (VBD was) (VP (VBG being) (VP (VBN sued) (PP (IN by) (NP (DT a) (NN monkey))))))))))	('PP',)
578.3786279296875	580.0486279296875	the fact that I was being sued by a monkey	(NP (DT the) (NN fact) (SBAR (IN that) (S (NP (PRP I)) (VP (VBD was) (VP (VBG being) (VP (VBN sued) (PP (IN by) (NP (DT a) (NN monkey)))))))))	('NP',)
